"transcript"	"l_tr"	"l_utr5"	"l_cds"	"l_utr3"	"nis_pos"
"YDR319C_mRNA"	1095	97	822	176	4
"YDR320C_mRNA"	2162	64	2004	94	64
"YDR320C-A_mRNA"	351	32	216	103	76
"YDR320W-B_mRNA"	408	97	135	176	4
"YDR321W_mRNA"	1300	41	1143	116	52
"YDR322W_mRNA"	1224	26	1101	97	7
"YDR322C-A_mRNA"	565	49	288	228	19
"YDR323C_mRNA"	1725	30	1545	150	76
"YDR324C_mRNA"	2601	97	2328	176	10
"YDR325W_mRNA"	3378	97	3105	176	7
"YDR326C_mRNA"	4587	97	4314	176	4
"YDR328C_mRNA"	906	67	582	257	115
"YDR327W_mRNA"	597	97	324	176	40
"YDR329C_mRNA"	1441	35	1323	83	19
"YDR330W_mRNA"	1642	59	1500	83	28
"YDR331W_mRNA"	1506	97	1233	176	82
"YDR332W_mRNA"	2157	32	2067	58	10
"YDR333C_mRNA"	2442	97	2169	176	4
"YDR334W_mRNA"	4815	97	4542	176	34
"YDR335W_mRNA"	3945	97	3672	176	4
"YDR336W_mRNA"	1013	7	942	64	28
"YDR337W_mRNA"	986	73	858	55	22
"YDR338C_mRNA"	2276	64	2085	127	91
"YDR339C_mRNA"	736	40	567	129	70
"YDR340W_mRNA"	573	97	300	176	4
"YDR341C_mRNA"	2085	78	1821	186	4
"YDR342C_mRNA"	1951	96	1710	145	28
"YDR343C_mRNA"	1983	97	1710	176	28
"YDR344C_mRNA"	714	97	441	176	166
"YDR345C_mRNA"	1907	37	1701	169	19
"YDR346C_mRNA"	1701	157	1443	101	Inf
"YDR347W_mRNA"	1168	91	963	114	34
"YDR348C_mRNA"	1856	199	1497	160	55
"YDR349C_mRNA"	1991	105	1788	98	46
"YDR350C_mRNA"	2325	97	2052	176	19
"YDR351W_mRNA"	2865	97	2592	176	22
"YDR352W_mRNA"	1344	188	951	205	34
"YDR353W_mRNA"	1306	85	957	264	19
"YDR354W_mRNA"	1325	113	1140	72	31
"YDR354C-A_mRNA"	414	97	141	176	Inf
"YDR355C_mRNA"	573	97	300	176	91
"YDR356W_mRNA"	3105	97	2832	176	58
"YDR357C_mRNA"	627	171	366	90	Inf
"YDR358W_mRNA"	1895	60	1671	164	34
"YDR359C_mRNA"	3219	97	2946	176	28
"YDR360W_mRNA"	705	97	432	176	121
"YDR361C_mRNA"	1146	43	849	254	16
"YDR362C_mRNA"	2276	110	2016	150	76
"YDR363W_mRNA"	1641	97	1368	176	124
"YDR363W-A_mRNA"	715	192	267	256	13
"YDR364C_mRNA"	1801	23	1365	413	25
"YDR365C_mRNA"	2041	86	1884	71	13
"YDR366C_mRNA"	669	97	396	176	112
"YDR367W_mRNA"	761	69	663	29	13
"YDR368W_mRNA"	1191	85	936	170	40
"YDR369C_mRNA"	2835	97	2562	176	4
"YDR370C_mRNA"	1498	97	1326	75	13
"YDR371C-A_mRNA"	375	97	102	176	37
"YDR371W_mRNA"	1714	70	1533	111	Inf
"YDR372C_mRNA"	1485	304	1035	146	7
"YDR373W_mRNA"	843	97	570	176	112
"YDR374C_mRNA"	1191	97	918	176	46
"YDR374W-A_mRNA"	539	21	267	251	46
"YDR375C_mRNA"	1641	97	1368	176	61
"YDR376W_mRNA"	1588	71	1479	38	25
"YDR377W_mRNA"	824	107	303	414	40
"YDR378C_mRNA"	539	29	258	252	16
"YDR379W_mRNA"	3204	119	3027	58	25
"YDR379C-A_mRNA"	497	103	237	157	34
"YDR380W_mRNA"	2192	156	1905	131	Inf
"YDR381W_mRNA"	1115	125	678	312	43
"YDR381C-A_mRNA"	464	1	342	121	70
"YDR382W_mRNA"	621	122	330	169	10
"YDR383C_mRNA"	987	97	714	176	58
"YDR384C_mRNA"	1069	85	825	159	10
"YDR385W_mRNA"	2773	77	2526	170	22
"YDR386W_mRNA"	2019	11	1896	112	16
"YDR387C_mRNA"	1947	146	1665	136	4
"YDR388W_mRNA"	1626	51	1446	129	103
"YDR389W_mRNA"	2235	97	1962	176	4
"YDR390C_mRNA"	2006	43	1908	55	4
"YDR391C_mRNA"	793	20	696	77	34
"YDR392W_mRNA"	1185	41	1011	133	13
"YDR393W_mRNA"	1641	97	1368	176	85
"YDR394W_mRNA"	1497	117	1284	96	34
"YDR395W_mRNA"	3105	97	2832	176	31
"YDR396W_mRNA"	771	97	498	176	58
"YDR397C_mRNA"	684	77	438	169	148
"YDR398W_mRNA"	2168	114	1929	125	55
"YDR399W_mRNA"	856	77	663	116	4
"YDR400W_mRNA"	1293	97	1020	176	13
"YDR402C_mRNA"	1740	97	1467	176	7
"YDR401W_mRNA"	834	97	561	176	82
"YDR403W_mRNA"	1881	97	1608	176	4
"YDR404C_mRNA"	786	97	513	176	Inf
"YDR405W_mRNA"	994	53	789	152	52
"YDR406W_mRNA"	4860	97	4587	176	4
"YDR406W-A_mRNA"	516	97	243	176	4
"YDR407C_mRNA"	4140	97	3867	176	7
"YDR408C_mRNA"	827	46	642	139	7
"YDR409W_mRNA"	2985	97	2712	176	13
"YDR410C_mRNA"	990	97	717	176	4
"YDR411C_mRNA"	1296	97	1023	176	64
"YDR412W_mRNA"	932	65	705	162	Inf
"YDR413C_mRNA"	846	97	573	176	16
"YDR414C_mRNA"	1359	97	1086	176	22
"YDR415C_mRNA"	1222	55	1122	45	28
"YDR416W_mRNA"	2709	63	2577	69	Inf
"YDR417C_mRNA"	642	97	369	176	10
"YDR418W_mRNA"	679	63	495	121	13
"YDR419W_mRNA"	2169	97	1896	176	40
"YDR420W_mRNA"	5679	97	5406	176	64
"YDR421W_mRNA"	3123	97	2850	176	52
"YDR422C_mRNA"	2718	97	2445	176	19
"YDR423C_mRNA"	1500	97	1227	176	19
"YDR424C_mRNA"	385	57	276	52	19
"YDR425W_mRNA"	2148	97	1875	176	70
"YDR426C_mRNA"	648	97	375	176	25
"YDR427W_mRNA"	1318	39	1179	100	22
"YDR428C_mRNA"	1056	97	783	176	4
"YDR429C_mRNA"	987	37	822	128	34
"YDR430C_mRNA"	3240	97	2967	176	22
"YDR431W_mRNA"	582	97	309	176	10
"YDR432W_mRNA"	1515	97	1242	176	61
"YDR433W_mRNA"	711	97	438	176	55
"YDR434W_mRNA"	1816	96	1602	118	13
"YDR435C_mRNA"	1149	24	984	141	Inf
"YDR436W_mRNA"	2403	97	2130	176	16
"YDR437W_mRNA"	693	97	420	176	55
"YDR438W_mRNA"	1383	97	1110	176	151
"YDR439W_mRNA"	1314	97	1041	176	58
"YDR440W_mRNA"	1916	87	1746	83	22
"YDR441C_mRNA"	816	97	543	176	67
"YDR443C_mRNA"	4533	97	4260	176	61
"YDR442W_mRNA"	663	97	390	176	46
"YDR444W_mRNA"	2334	97	2061	176	7
"YDR445C_mRNA"	678	97	405	176	121
"YDR446W_mRNA"	1179	97	906	176	40
"YDR447C_mRNA"	623	72	408	143	10
"YDR448W_mRNA"	1575	97	1302	176	16
"YDR449C_mRNA"	1428	41	1320	67	61
"YDR450W_mRNA"	665	95	438	132	25
"YDR451C_mRNA"	1314	53	1059	202	67
"YDR452W_mRNA"	2336	160	2022	154	88
"YDR453C_mRNA"	777	73	588	116	31
"YDR454C_mRNA"	710	43	561	106	16
"YDR455C_mRNA"	579	97	306	176	10
"YDR456W_mRNA"	2032	57	1899	76	37
"YDR457W_mRNA"	10077	97	9804	176	16
"YDR458C_mRNA"	2215	49	1989	177	61
"YDR459C_mRNA"	1395	97	1122	176	88
"YDR460W_mRNA"	1236	97	963	176	31
"YDR461W_mRNA"	287	28	108	151	91
"YDR461C-A_mRNA"	485	62	240	183	55
"YDR462W_mRNA"	626	54	441	131	4
"YDR463W_mRNA"	1793	40	1557	196	121
"YDR464W_mRNA"	4578	97	4305	176	46
"YDR464C-A_mRNA"	459	97	186	176	133
"YDR465C_mRNA"	1437	62	1236	139	7
"YDR466W_mRNA"	3042	95	2694	253	64
"YDR467C_mRNA"	597	97	324	176	103
"YDR468C_mRNA"	939	160	672	107	Inf
"YDR469W_mRNA"	619	24	525	70	4
"YDR470C_mRNA"	1779	97	1506	176	133
"YDR471W_mRNA"	789	151	408	230	55
"YDR472W_mRNA"	1085	109	849	127	31
"YDR473C_mRNA"	1680	97	1407	176	118
"YDR475C_mRNA"	2901	97	2628	176	55
"YDR476C_mRNA"	867	10	672	185	Inf
"YDR477W_mRNA"	2328	289	1899	140	22
"YDR478W_mRNA"	681	18	594	69	16
"YDR479C_mRNA"	1779	48	1662	69	7
"YDR480W_mRNA"	1242	97	969	176	91
"YDR481C_mRNA"	1971	97	1698	176	40
"YDR482C_mRNA"	689	110	405	174	10
"YDR483W_mRNA"	1653	172	1326	155	67
"YDR484W_mRNA"	2196	97	1923	176	4
"YDR485C_mRNA"	2658	97	2385	176	19
"YDR486C_mRNA"	853	41	687	125	Inf
"YDR487C_mRNA"	768	58	624	86	Inf
"YDR488C_mRNA"	1872	97	1599	176	46
"YDR489W_mRNA"	1155	97	882	176	139
"YDR490C_mRNA"	2571	97	2298	176	13
"YDR491C_mRNA"	762	97	489	176	4
"YDR492W_mRNA"	1221	97	948	176	31
"YDR493W_mRNA"	585	101	369	115	4
"YDR494W_mRNA"	1250	87	1083	80	37
"YDR495C_mRNA"	3306	97	3033	176	112
"YDR496C_mRNA"	2050	33	1968	49	37
"YDR497C_mRNA"	1928	89	1752	87	37
"YDR498C_mRNA"	1289	61	1149	79	4
"YDR499W_mRNA"	2514	97	2241	176	73
"YDR500C_mRNA"	434	73	264	97	7
"YDR501W_mRNA"	1836	97	1563	176	70
"YDR502C_mRNA"	1425	97	1152	176	16
"YDR503C_mRNA"	1026	42	822	162	4
"YDR504C_mRNA"	654	97	381	176	148
"YDR505C_mRNA"	2796	97	2523	176	Inf
"YDR506C_mRNA"	2097	97	1824	176	Inf
"YDR507C_mRNA"	3699	97	3426	176	7
"YDR508C_mRNA"	2277	50	1989	238	40
"YDR509W_mRNA"	618	97	345	176	Inf
"YDR510W_mRNA"	586	85	303	198	10
"YDR510C-A_mRNA"	387	97	114	176	34
"YDR511W_mRNA"	538	53	399	86	31
"YDR512C_mRNA"	834	97	561	176	10
"YDR513W_mRNA"	596	56	429	111	16
"YDR514C_mRNA"	1594	61	1449	84	7
"YDR515W_mRNA"	1682	227	1341	114	7
"YDR516C_mRNA"	1716	112	1500	104	Inf
"YDR517W_mRNA"	1315	88	1116	111	58
"YDR518W_mRNA"	1639	30	1551	58	43
"YDR519W_mRNA"	688	55	405	228	73
"YDR520C_mRNA"	2589	97	2316	176	67
"YDR521W_mRNA"	606	97	333	176	22
"YDR522C_mRNA"	1779	97	1506	176	19
"YDR523C_mRNA"	1743	97	1470	176	40
"YDR524C_mRNA"	1719	97	1446	176	10
"YDR524C-B_mRNA"	622	84	198	340	10
"YDR524W-C_mRNA"	360	97	87	176	4
"YDR524C-A_mRNA"	390	97	117	176	13
"YDR525W_mRNA"	600	97	327	176	88
"YDR525W-A_mRNA"	596	115	237	244	49
"YDR526C_mRNA"	741	97	468	176	19
"YDR527W_mRNA"	1590	97	1317	176	55
"YDR528W_mRNA"	1677	301	1269	107	4
"YDR529C_mRNA"	665	42	381	242	13
"YDR530C_mRNA"	1248	97	975	176	40
"YDR531W_mRNA"	1248	60	1101	87	52
"YDR532C_mRNA"	1428	97	1155	176	88
"YDR533C_mRNA"	1126	232	711	183	13
"YDR534C_mRNA"	1857	97	1584	176	40
"YDR535C_mRNA"	771	97	498	176	112
"YDR536W_mRNA"	1980	97	1707	176	88
"YDR537C_mRNA"	876	97	603	176	31
"YDR538W_mRNA"	999	97	726	176	13
"YDR539W_mRNA"	1782	97	1509	176	10
"YDR540C_mRNA"	810	97	537	176	4
"YDR541C_mRNA"	1305	97	1032	176	34
"YDR542W_mRNA"	633	97	360	176	43
"YDR543C_mRNA"	570	97	297	176	10
"YDR544C_mRNA"	699	97	426	176	46
"YDR545W_mRNA"	5661	97	5388	176	49
"YDR545C-A_mRNA"	750	97	477	176	88
"YIL177C_mRNA"	5547	97	5274	176	49
"YIL177W-A_mRNA"	753	97	480	176	88
"YIL176C_mRNA"	633	97	360	176	43
"YIL173W_mRNA"	4920	97	4647	176	106
"YIL172C_mRNA"	2040	97	1767	176	76
"YIL171W-A_mRNA"	723	97	450	176	67
"YIL169C_mRNA"	3258	97	2985	176	172
"YIL166C_mRNA"	1899	97	1626	176	Inf
"YIL165C_mRNA"	630	97	357	176	25
"YIL164C_mRNA"	870	97	597	176	Inf
"YIL163C_mRNA"	624	97	351	176	4
"YIL162W_mRNA"	1869	97	1596	176	10
"YIL161W_mRNA"	757	10	705	42	7
"YIL160C_mRNA"	1524	97	1251	176	7
"YIL159W_mRNA"	4398	97	4125	176	4
"YIL158W_mRNA"	727	11	612	104	16
"YIL157C_mRNA"	827	34	591	202	4
"YIL156W-A_mRNA"	672	97	399	176	7
"YIL156W-B_mRNA"	334	8	219	107	Inf
"YIL156W_mRNA"	3486	97	3213	176	154
"YIL155C_mRNA"	2220	97	1947	176	19
"YIL154C_mRNA"	1311	97	1038	176	31
"YIL153W_mRNA"	1452	97	1179	176	7
"YIL152W_mRNA"	978	97	705	176	112
"YIL151C_mRNA"	3627	97	3354	176	94
"YIL150C_mRNA"	1986	97	1713	176	49
"YIL149C_mRNA"	5310	97	5037	176	88
"YIL148W_mRNA"	525	26	384	115	88
"YIL147C_mRNA"	3933	97	3660	176	61
"YIL146C_mRNA"	1860	97	1587	176	115
"YIL145C_mRNA"	1200	97	927	176	10
"YIL144W_mRNA"	2346	97	2073	176	4
"YIL143C_mRNA"	2802	97	2529	176	52
"YIL142C-A_mRNA"	603	97	330	176	40
"YIL142W_mRNA"	1673	37	1581	55	10
"YIL141W_mRNA"	660	97	387	176	49
"YIL140W_mRNA"	2742	97	2469	176	55
"YIL139C_mRNA"	886	36	735	115	13
"YIL138C_mRNA"	861	30	483	348	130
"YIL137C_mRNA"	2972	49	2838	85	37
"YIL136W_mRNA"	1362	81	1179	102	13
"YIL135C_mRNA"	1581	97	1308	176	91
"YIL134C-A_mRNA"	474	97	201	176	61
"YIL134W_mRNA"	1206	97	933	176	4
"YIL133C_mRNA"	758	41	597	120	43
"YIL132C_mRNA"	912	97	639	176	19
"YIL131C_mRNA"	1680	75	1452	153	97
"YIL130W_mRNA"	3165	97	2892	176	16
"YIL129C_mRNA"	7401	97	7128	176	82
"YIL128W_mRNA"	3369	97	3096	176	43
"YIL127C_mRNA"	713	29	618	66	7
"YIL126W_mRNA"	4284	70	4077	137	Inf
"YIL125W_mRNA"	3315	97	3042	176	7
"YIL124W_mRNA"	1052	58	891	103	85
"YIL123W_mRNA"	1867	99	1428	340	10
"YIL122W_mRNA"	1326	97	1053	176	31
"YIL121W_mRNA"	1835	49	1626	160	76
"YIL120W_mRNA"	1962	97	1689	176	70
"YIL119C_mRNA"	1494	97	1221	176	46
"YIL118W_mRNA"	966	97	693	176	64
"YIL117C_mRNA"	1227	97	954	176	13
"YIL116W_mRNA"	1428	97	1155	176	10
"YIL115C_mRNA"	4653	97	4380	176	4
"YIL115W-A_mRNA"	642	97	369	176	34
"YIL114C_mRNA"	987	17	843	127	31
"YIL113W_mRNA"	667	32	627	8	Inf
"YIL112W_mRNA"	3522	97	3249	176	Inf
"YIL111W_mRNA"	649	44	453	152	55
"YIL110W_mRNA"	1337	39	1131	167	10
"YIL109C_mRNA"	3022	87	2778	157	7
"YIL108W_mRNA"	2245	24	2088	133	4
"YIL107C_mRNA"	2754	97	2481	176	76
"YIL106W_mRNA"	1178	107	942	129	19
"YIL105C_mRNA"	2357	141	2058	158	13
"YIL105W-A_mRNA"	411	97	138	176	67
"YIL104C_mRNA"	1794	97	1521	176	25
"YIL103W_mRNA"	1451	100	1275	76	10
"YIL102C-A_mRNA"	649	55	225	369	13
"YIL102C_mRNA"	576	97	303	176	22
"YIL101C_mRNA"	2214	97	1941	176	28
"YIL100C-A_mRNA"	609	97	336	176	79
"YIL100W_mRNA"	624	97	351	176	43
"YIL099W_mRNA"	1920	97	1647	176	112
"YIL098C_mRNA"	581	43	465	73	19
"YIL097W_mRNA"	1698	26	1548	124	91
"YIL096C_mRNA"	1142	34	1008	100	70
"YIL095W_mRNA"	2669	161	2430	78	Inf
"YIL094C_mRNA"	1386	97	1113	176	10
"YIL093C_mRNA"	974	75	792	107	52
"YIL092W_mRNA"	2172	97	1899	176	13
"YIL091C_mRNA"	2284	25	2163	96	67
"YIL090W_mRNA"	1932	138	1473	321	7
"YIL089W_mRNA"	888	97	615	176	10
"YIL088C_mRNA"	1613	73	1470	70	13
"YIL087C_mRNA"	657	82	471	104	25
"YIL086C_mRNA"	579	97	306	176	Inf
"YIL085C_mRNA"	1671	70	1551	50	Inf
"YIL084C_mRNA"	1254	97	981	176	73
"YIL083C_mRNA"	1534	340	1095	99	76
"YIL082W_mRNA"	1143	97	870	176	136
"YIL079C_mRNA"	1250	43	1080	127	13
"YIL078W_mRNA"	2326	48	2202	76	4
"YIL077C_mRNA"	1233	97	960	176	13
"YIL076W_mRNA"	1088	27	888	173	10
"YIL075C_mRNA"	3108	97	2835	176	31
"YIL074C_mRNA"	1680	97	1407	176	13
"YIL073C_mRNA"	3198	97	2925	176	40
"YIL072W_mRNA"	2088	97	1815	176	34
"YIL071W-A_mRNA"	747	97	474	176	34
"YIL071C_mRNA"	1605	97	1332	176	124
"YIL070C_mRNA"	1002	78	798	126	46
"YIL069C_mRNA"	742	122	405	215	127
"YIL068W-A_mRNA"	654	97	381	176	4
"YIL068C_mRNA"	2597	67	2415	115	52
"YIL067C_mRNA"	2159	59	2034	66	31
"YIL066W-A_mRNA"	714	97	441	176	13
"YIL066C_mRNA"	2880	97	2607	176	37
"YIL065C_mRNA"	673	91	465	117	91
"YIL064W_mRNA"	1044	97	771	176	Inf
"YIL063C_mRNA"	1039	37	981	21	Inf
"YIL062C_mRNA"	611	38	462	111	16
"YIL061C_mRNA"	1173	97	900	176	7
"YIL060W_mRNA"	705	97	432	176	70
"YIL059C_mRNA"	636	97	363	176	19
"YIL058W_mRNA"	555	97	282	176	64
"YIL057C_mRNA"	613	71	492	50	28
"YIL056W_mRNA"	2182	127	1920	135	4
"YIL055C_mRNA"	2154	97	1881	176	40
"YIL054W_mRNA"	588	97	315	176	4
"YIL053W_mRNA"	1013	97	750	166	37
"YIL052C_mRNA"	572	92	363	117	7
"YIL051C_mRNA"	674	81	435	158	85
"YIL050W_mRNA"	1105	122	855	128	106
"YIL049W_mRNA"	837	6	759	72	4
"YIL048W_mRNA"	3726	97	3453	176	112
"YIL047C-A_mRNA"	639	97	366	176	25
"YIL047C_mRNA"	2979	97	2706	176	55
"YIL046W-A_mRNA"	435	97	162	176	91
"YIL046W_mRNA"	2141	68	1920	153	85
"YIL045W_mRNA"	1855	94	1614	147	112
"YIL044C_mRNA"	1103	35	894	174	31
"YIL043C_mRNA"	992	25	852	115	16
"YIL042C_mRNA"	1352	57	1182	113	10
"YIL041W_mRNA"	1129	41	978	110	4
"YIL040W_mRNA"	550	18	414	118	40
"YIL039W_mRNA"	1616	29	1419	168	37
"YIL038C_mRNA"	2781	97	2508	176	4
"YIL037C_mRNA"	2241	97	1968	176	136
"YIL036W_mRNA"	2027	159	1761	107	76
"YIL035C_mRNA"	1389	97	1116	176	19
"YIL034C_mRNA"	951	27	861	63	61
"YIL033C_mRNA"	1543	108	1248	187	34
"YIL032C_mRNA"	627	97	354	176	Inf
"YIL031W_mRNA"	3375	97	3102	176	19
"YIL030W-A_mRNA"	609	97	336	176	43
"YIL030C_mRNA"	4103	64	3957	82	25
"YIL029W-A_mRNA"	642	97	369	176	28
"YIL029C_mRNA"	699	97	426	176	4
"YIL028W_mRNA"	669	97	396	176	55
"YIL027C_mRNA"	657	58	423	176	13
"YIL026C_mRNA"	3723	97	3450	176	79
"YIL025C_mRNA"	645	97	372	176	73
"YIL024C_mRNA"	739	52	567	120	31
"YIL023C_mRNA"	1311	97	1038	176	Inf
"YIL022W_mRNA"	1723	118	1293	312	58
"YIL021W_mRNA"	1181	89	954	138	100
"YIL021C-A_mRNA"	540	97	267	176	10
"YIL020C-A_mRNA"	609	97	336	176	76
"YIL020C_mRNA"	935	51	783	101	64
"YIL019W_mRNA"	1279	26	1038	215	91
"YIL018W_mRNA"	876	24	762	90	10
"YIL017C_mRNA"	3036	97	2763	176	34
"YIL016W_mRNA"	565	25	477	63	22
"YIL015W_mRNA"	2034	97	1761	176	28
"YIL014C-A_mRNA"	585	97	312	176	109
"YIL014W_mRNA"	2068	174	1890	4	Inf
"YIL013C_mRNA"	4506	97	4233	176	91
"YIL012W_mRNA"	612	97	339	176	28
"YIL011W_mRNA"	1080	97	807	176	28
"YIL010W_mRNA"	912	85	645	182	31
"YIL009W_mRNA"	2306	1	2082	223	79
"YIL008W_mRNA"	565	82	297	186	7
"YIL007C_mRNA"	861	44	660	157	82
"YIL006W_mRNA"	1392	97	1119	176	43
"YIL005W_mRNA"	2376	97	2103	176	13
"YIL004C_mRNA"	493	19	426	48	Inf
"YIL003W_mRNA"	1030	52	879	99	73
"YIL002W-A_mRNA"	449	42	207	200	58
"YIL002C_mRNA"	3111	97	2838	176	16
"YIL001W_mRNA"	1812	97	1539	176	16
"YIR001C_mRNA"	1023	97	750	176	28
"YIR002C_mRNA"	3252	97	2979	176	4
"YIR003W_mRNA"	2173	63	2037	73	28
"YIR004W_mRNA"	1569	97	1296	176	7
"YIR005W_mRNA"	717	97	444	176	40
"YIR006C_mRNA"	4713	97	4440	176	40
"YIR007W_mRNA"	2565	97	2292	176	91
"YIR008C_mRNA"	1500	97	1227	176	7
"YIR009W_mRNA"	606	97	333	176	10
"YIR010W_mRNA"	1942	84	1728	130	Inf
"YIR011C_mRNA"	1069	16	957	96	7
"YIR012W_mRNA"	1423	25	1293	105	4
"YIR013C_mRNA"	636	97	363	176	52
"YIR014W_mRNA"	999	97	726	176	172
"YIR015W_mRNA"	705	97	432	176	13
"YIR016W_mRNA"	924	50	795	79	4
"YIR017C_mRNA"	834	97	561	176	79
"YIR017W-A_mRNA"	870	97	597	176	67
"YIR018W_mRNA"	1008	97	735	176	19
"YIR018C-A_mRNA"	408	97	135	176	79
"YIR019C_mRNA"	4374	97	4101	176	4
"YIR020C_mRNA"	573	97	300	176	13
"YIR020W-A_mRNA"	513	97	240	176	40
"YIR020C-B_mRNA"	1005	97	732	176	61
"YIR021W_mRNA"	1362	97	1089	176	25
"YIR021W-A_mRNA"	483	97	210	176	Inf
"YIR022W_mRNA"	667	58	501	108	61
"YIR023W_mRNA"	3183	97	2910	176	10
"YIR023C-A_mRNA"	594	97	321	176	Inf
"YIR024C_mRNA"	921	97	648	176	4
"YIR025W_mRNA"	1377	97	1104	176	97
"YIR026C_mRNA"	1365	97	1092	176	25
"YIR027C_mRNA"	1653	97	1380	176	25
"YIR028W_mRNA"	2178	97	1905	176	49
"YIR029W_mRNA"	1302	97	1029	176	4
"YIR030C_mRNA"	1005	97	732	176	13
"YIR030W-A_mRNA"	654	97	381	176	43
"YIR031C_mRNA"	1935	97	1662	176	103
"YIR032C_mRNA"	858	97	585	176	58
"YIR033W_mRNA"	3612	97	3339	176	82
"YIR034C_mRNA"	1392	97	1119	176	37
"YIR035C_mRNA"	902	60	762	80	7
"YIR036C_mRNA"	866	26	789	51	7
"YIR036W-A_mRNA"	672	97	399	176	76
"YIR037W_mRNA"	711	85	489	137	37
"YIR038C_mRNA"	975	97	702	176	121
"YIR039C_mRNA"	1884	97	1611	176	76
"YIR040C_mRNA"	603	97	330	176	64
"YIR041W_mRNA"	645	97	372	176	31
"YIR042C_mRNA"	981	97	708	176	142
"YEL077C_mRNA"	4104	97	3831	176	49
"YEL077W-A_mRNA"	753	97	480	176	88
"YEL076C-A_mRNA"	921	97	648	176	55
"YEL076C_mRNA"	921	97	648	176	40
"YEL075W-A_mRNA"	882	97	609	176	10
"YEL075C_mRNA"	639	97	366	176	52
"YEL074W_mRNA"	609	97	336	176	10
"YEL073C_mRNA"	594	97	321	176	115
"YEL072W_mRNA"	966	97	693	176	34
"YEL071W_mRNA"	1680	67	1488	125	91
"YEL070W_mRNA"	1779	97	1506	176	7
"YEL069C_mRNA"	1965	97	1692	176	7
"YEL068C_mRNA"	603	97	330	176	73
"YEL067C_mRNA"	858	97	585	176	Inf
"YEL066W_mRNA"	810	97	537	176	19
"YEL065W_mRNA"	2033	66	1884	83	40
"YEL064C_mRNA"	1581	29	1440	112	37
"YEL063C_mRNA"	2043	97	1770	176	7
"YEL062W_mRNA"	2118	97	1845	176	115
"YEL061C_mRNA"	3273	97	3000	176	46
"YEL060C_mRNA"	2178	97	1905	176	13
"YEL059C-A_mRNA"	355	77	222	56	31
"YEL059W_mRNA"	579	97	306	176	112
"YEL058W_mRNA"	1786	38	1671	77	34
"YEL057C_mRNA"	967	133	699	135	19
"YEL056W_mRNA"	1476	97	1203	176	76
"YEL055C_mRNA"	3339	97	3066	176	58
"YEL054C_mRNA"	809	76	495	238	34
"YEL053W-A_mRNA"	618	97	345	176	31
"YEL053C_mRNA"	2472	97	2199	176	37
"YEL052W_mRNA"	1624	35	1527	62	Inf
"YEL051W_mRNA"	979	60	768	151	40
"YEL050W-A_mRNA"	462	97	189	176	52
"YEL050C_mRNA"	1422	64	1179	179	10
"YEL049W_mRNA"	633	97	360	176	19
"YEL048C_mRNA"	729	97	456	176	16
"YEL047C_mRNA"	1683	97	1410	176	13
"YEL046C_mRNA"	1847	118	1161	568	46
"YEL045C_mRNA"	696	97	423	176	43
"YEL044W_mRNA"	1333	707	498	128	58
"YEL043W_mRNA"	3141	97	2868	176	13
"YEL042W_mRNA"	1908	202	1554	152	61
"YEL041W_mRNA"	1758	97	1485	176	43
"YEL040W_mRNA"	1573	39	1401	133	67
"YEL039C_mRNA"	646	193	339	114	Inf
"YEL038W_mRNA"	777	36	681	60	34
"YEL037C_mRNA"	1467	97	1194	176	25
"YEL036C_mRNA"	1727	145	1500	82	46
"YEL035C_mRNA"	771	97	498	176	4
"YEL034C-A_mRNA"	873	97	600	176	10
"YEL034W_mRNA"	825	119	471	235	10
"YEL033W_mRNA"	690	97	417	176	28
"YEL032W_mRNA"	3186	97	2913	176	22
"YEL032C-A_mRNA"	432	97	159	176	70
"YEL031W_mRNA"	3780	20	3645	115	4
"YEL030C-A_mRNA"	585	97	312	176	13
"YEL030W_mRNA"	2205	97	1932	176	118
"YEL029C_mRNA"	1209	97	936	176	4
"YEL028W_mRNA"	732	97	459	176	46
"YEL027W_mRNA"	844	98	480	266	13
"YEL026W_mRNA"	680	185	378	117	106
"YEL025C_mRNA"	3837	97	3564	176	7
"YEL024W_mRNA"	1169	114	645	410	91
"YEL023C_mRNA"	2319	97	2046	176	7
"YEL022W_mRNA"	4535	81	4377	77	10
"YEL021W_mRNA"	931	46	801	84	16
"YEL020C-B_mRNA"	468	97	195	176	64
"YEL020W-A_mRNA"	451	69	261	121	91
"YEL020C_mRNA"	1953	97	1680	176	4
"YEL019C_mRNA"	1074	97	801	176	64
"YEL018C-A_mRNA"	804	97	531	176	Inf
"YEL018W_mRNA"	947	20	837	90	Inf
"YEL017C-A_mRNA"	753	121	129	503	46
"YEL017W_mRNA"	1135	30	1011	94	76
"YEL016C_mRNA"	1772	203	1479	90	58
"YEL015W_mRNA"	1743	33	1653	57	Inf
"YEL014C_mRNA"	576	97	303	176	31
"YEL013W_mRNA"	2007	97	1734	176	97
"YEL012W_mRNA"	868	102	654	112	61
"YEL011W_mRNA"	2280	31	2112	137	25
"YEL010W_mRNA"	621	97	348	176	4
"YEL009C-A_mRNA"	678	97	405	176	4
"YEL009C_mRNA"	1540	604	843	93	49
"YEL008W_mRNA"	651	97	378	176	31
"YEL008C-A_mRNA"	363	97	90	176	91
"YEL007W_mRNA"	2271	97	1998	176	16
"YEL006W_mRNA"	1212	18	1005	189	25
